id,stance,text
1247539747670462464,2,Survey of 6k doctors finds hydroxychloroquine “most effective therapy” for Chinavirus https://t.co/oJ3DZp73fJ https://t.co/fAI7t8aIiI
1247539830948429828,0,"Trump adviser Navarro clashes with Fauci on hydroxychloroquine to treat COVID-19

https://t.co/bigP9tSiRp

Read this article, rate and fact-check at https://t.co/z9ZKndOgFY 🇺🇸  — #bethechange #coronavirus #covid19 #trump #uspolitics #vote2020 #fauci #navarro #hydroxychloroquine https://t.co/qK3pT1DtyV"
1247539915266519040,1,"""Mr. Trump himself has a small personal financial interest in Sanofi, the French drugmaker that makes Plaquenil, the brand-name version of hydroxychloroquine.""
https://t.co/QovVEYMtPe"
1247539928117833732,2,Right.  @girlsreallyrule I’m sure his family went out and invested in the mutual funds right before it was found that hydroxychloroquine works on the virus.  Pull your damn head out. https://t.co/71IffZoqnd
1247540003590135810,1,"@tafkak @priusjames @JesseDrucker @ClaraJeffery Latest factual evidence re: hydroxychloroquine use; bottom line is, based on most recent scientific study, it is ineffectual against COVID infection or related health conditions:

https://t.co/ZlO2peo6RU"
1247540098431737858,2,"#COVID19 #COVID19NL 

#Netherlands 🇳🇱 recorded highest no of deads in last 24h 234

Total Positive cases: 19.580+
In last 24 hour: 777+

Total in Hospital: 7427+
In last 24 hour: 292+

#Hydroxychloroquine sure wil be a #GameChanger.This wil happen if u are late with #Prevention☹️ https://t.co/gjhXX0gefY"
1247540184482058244,0,Anyone collecting signatures from virologists who have looked at the evidence and think hydroxychloroquine will not work as a COVID-19 treatment? Let me know.
1247544726456340481,2,"Read my Apr 7 Newsletter featuring “Detroit rep says hydroxychloroquine, Trump helped save her life amid COVID…” https://t.co/qQqU9usUWd"
1247544751383027713,0,"Today I spoke with Dodge County (Wisconsin) Public Health Officer Abby Sauer. We talked election safety, FAQ's about #COVID19 and even whether hydroxychloroquine can help those suffering from coronavirus. You can listen to the interview here: https://t.co/xjplFgiLiE"
1247544785147236352,2,"Read my Apr 7 Newsletter featuring “Detroit rep says hydroxychloroquine, Trump helped save her life amid COVID…” https://t.co/pGPocfbX6i"
1247544810157813767,1,@RobStapleford @rockcover1 @realDonaldTrump If you get Covid-19 and your doctor recommends that you take hydroxychloroquine I suggest that you inform him that Trump is a liar and show him this link and refuse to take it.
1247544818705842176,1,"Trump’s Former Lawyer Had Million-Dollar Contract With Hydroxychloroquine Maker 

https://t.co/qO1OgtSb18 via @truthout

#p2 #news #politics #coronavirus"
1247544932023197696,1,No Evidence of Rapid Antiviral Clearance or Clinical Benefit with the Combination of Hydroxychloroquine and Azithromycin in Patients with Severe COVID-19 Infection - ScienceDirect https://t.co/L6E8AgdRXC
1247544956786479104,0,"#China API firms lift output of #hydroxychloroquine, #paracetamol, other key drugs to meet global needs, with a major producer reporting orders up 30% since the end of 2019. #COVID19 #COVID19IndustryDrive https://t.co/8Es3y3CA5a"
1247544961333002241,1,"Also..Trump has financial interest in Sanofi, the French company that makes Plaquenil, the brand-name version of hydroxychloroquine (NYT) (Daily Mail) https://t.co/NzQthclFCJ"
1247545079138402307,1,"@GeraldoRivera @realDonaldTrump ""At worst #Hydroxychloroquine might not work for some patients vs #Coronavirus ""

At worst there are *serious side effects* and people may be harming themselves because of Trump and his snake-oil cronies doing infomercials for a drug *they have a financial stake in*"
1247545082951188481,0,"@realDonaldTrump Eradication of Human trafficking,? Ground Control to Major Tom get me to Church on Time!

#CoronaVirusUpdate yesterday,

Did #Trump talk about #Hydroxychloroquine  &amp; #Azithromycin ?

Has #COVID19 the #THEINVISIBLEENEMY  meet its match?

#Trump wins again!
https://t.co/CTJR394EQI"
1247545086549921793,1,"The one positive study for #hydroxychloroquine as treatment for COVID-19 was retracted by the publisher, International Society of Antimicrobial Chemotherapy (ISAC), March 3rd. https://t.co/V6mPaevqY1 https://t.co/tlW7sD7G9C"
1247545230078824466,2,"I am from pharmacy background and working in Industry from last 20 years. We can handle demand of this product efficiently. I don’t think there is need to worry, as we don’t depend on China for raw material of Hydroxychloroquine."
1247545308512280576,2,"This was #BigPharma’s ace in the hole. They were going to make a killing off of this #pandemic, no pun intended. I suspect this #hydroxychloroquine is just the start of the cures being released. Let’s end the unnecessary suffering once and for all. #releasethecures #COVID19 https://t.co/ZyjaCvOFD1"
1247545523025801216,0,@TimesNow @sumanthraman Truth on #HCQ - from a global pharma major - #Sanofi Look what I shared: 5 Questions about Hydroxychloroquine and COVID-19 - Sanofi @MIUI| https://t.co/zoRTaa2uXl
1247545749748862982,2,"@WhiteHouse HAS PRESIDENT TRUMP FOUND THE CURE ??? IT SEEMS SO !!!
https://t.co/SZadb1pdhS
UNLEASH HYDROXYCHLOROQUINE AGAINST THE WUHAN VIRUS !!!"
1247545791662698496,0,"Trump has very small financial tie to hydroxychloroquine producer, Sanofi. Some of Trump's associates also have financial ties to Sanofi, according to The Times https://t.co/HQLD5v52c5"
1247546018335465472,2,"@DrOz @SharecareInc Dr. Oz, multiple people are reporting that zinc should be included in treatment of covid  19 in addition to z-pack and hydroxychloroquine. What do you think? Thank you"
1247546022252949506,2,"Hydroxychloroquine? Follow the money. there's only money in a vaccine ( it probably already exists). There's no money in a 70 year old generic drug ( that's starting to get scarce) thanks to  Fake news ""not"" promoting it! https://t.co/HrpprHzzoR"
1247546085469564929,1,I have #Lupus and take #Hydroxychloroquine daily to keep my body from attacking itself. My pharmacy is out of stock and shortages are everywhere. I can’t get the medication I desperately need because our President is a complete and total assclown. https://t.co/olrz7Xsu3A
1247546114762518529,0,"@ladydashby @joanneintexas @JanetETennessee @PatrickSvitek @GovAbbott @GOP ents as available or feasible. The EUA requires that fact sheets that provide important information about using chloroquine phosphate and hydroxychloroquine sulfate in treating COVID-19 be made available to health care providers and patients, including the known risks and drug"
1247550393103548420,1,"@GOP @LaraLeaTrump 🦠📢🤢☠️Donald Trump Has Stake In Hydroxychloroquine Drugmaker: Report
The president has repeatedly touted the anti-malaria drug as a coronavirus treatment despite a lack of medical evidence.
https://t.co/qee6h40MxV
#TrumpIsTheWORSTPresidentEVER 
#COVID19"
1247550514067386368,2,"Michigan State Rep. Tested Positive for COVID-19, Says Hydroxychloroquine Helped Save Her Life https://t.co/byqQEqpWp7 https://t.co/19PgGJN1vV"
1247550535953043456,1,Texas City nursing home residents with coronavirus being treated with unproven hydroxychloroquine drug https://t.co/nJSLlWx58S via @TexasTribune
1247550556811526149,2,"Democrat State Rep From Michigan Says Hydroxychloroquine, President Trump, Helped Save Her Life After She Tested Positive For Coronavirus https://t.co/fFksaVGh0I"
1247550682250575874,0,"India is lifting its export ban on hydroxychloroquine after Trump threatened retaliation.  There is no bottom.
https://t.co/weFEivliUE"
1247550825125289989,2,"@revenenthell @realDonaldTrump Didier Raoult the best doctor all around the World for coronavirus defy the DEEP STATE in France, je treat his patients with Chloroquine and Azithromisin, Dr Raoult has the best results in France with chloroquine, mainstream medias give him shit. 30 countries use chloroquine now"
1247550975805513728,1,Some Swedish Hospitals Have Stopped Using Chloroquine to Treat COVID-19 After Reports of Severe Side Effects https://t.co/tYYoT0KhFQ
1247551013596229633,0,"US President #DonaldTrump has said ""there may be #Retaliation"" if India does not agree to #export #Hydroxychloroquine. His remarks come nearly two weeks after #IndiaGovt banned export of the #drug as experts test its efficacy in helping treat #COVID19 patients. | @BengalNewzWorld https://t.co/mE0rzBLvx0"
1247551251363094530,1,"@NembuKol Only white supermascist KKK sanghis will take hydroxychloroquine for corona epidemic when WHO has not even approved until now.

https://t.co/qNlILpTOvu

 @rishibagree https://t.co/4a6ekO5FMp"
1247551251719622657,1,"“Why Trump's press briefings are starting to feel like a hydroxychloroquine infomercial. Follow the money.

As of last year, Trump's three family trusts each had investments in a mutual fund whose largest holding was in Sanofi” maker of Plaquenil.
➔ https://t.co/r5S4M8ihdB https://t.co/KdrOZAQxqt https://t.co/W8qTTJIjC5"
1247551269402808321,1,"The #LiarInChief has a
personal financial interest in Sanofi, the French drugmaker that makes Plaquenil, the brand-name version of hydroxychloroquine. Go figure🤔 https://t.co/RHer61OhyV"
1247551269721513986,1,"This one’s for all the deranged haters howling about Trump’s financial interest in Sanofi, the maker of #hydroxichloroquine!
#COVID19 #coronavirus 
👇👇👇
https://t.co/jfuezsCkIY"
1247551281931190272,2,"@Marsha10C @revenenthell @realDonaldTrump The globalist left lies when crook doctors said chloroquine has not been tested, China has tested chloroquine with success, South Korea has tested chloroquine with success? https://t.co/vrxUS13kTe"
1247551311509250049,2,"""Well, I'm Upset"" - Dr. Oz Vents After NY Governor Cuomo Shuts Down His Study on Hydroxychloroquine for Early Treatment of Coronavirus (VIDEO) https://t.co/gOvMNEjgFw via @gatewaypundit"
1247551349228699649,0,"[KFOX #Elpaso] Governor #Abbott discusses personal protective equipment in #Texas.Governor Greg Abbott provided an update Monday on the state's efforts to combat #Covid19,.Testing is being done to see if hydroxychloroquine is aiding 30 patients wi https://t.co/3XbOafx5Pc"
1247551550542589953,2,"@washingtonpost Detroit rep says hydroxychloroquine, Trump helped save her life amid COVID-19 fight State Rep. Karen Whitsett, who learned Monday she has tested positive for COVID-19, said she started taking hydroxychloroquine on March 31 https://t.co/DNgs49g5Zi"
1247551562706288641,2,@DeborahDitkows1 @Bee2Lee2 @JonathanTurley @CNN Not only did Dems say the same things as Trump they also wanted free travel from China or Europe &amp; now don’t want you to use hydroxychloroquine bc it hasn’t been tested. The lefts dream scenario was a quick response so they could bash him for a bad economy saying he overreacted.
1247551562748223489,1,"My question has been answered — and the answer is chilling.

Trump is willing to kill citizens in order to make money for himself, and his crime family.

The NY Times is reporting that Trump has a 'financial interest' in hydroxychloroquine manufacturer.

https://t.co/eoJ9Q63xfW https://t.co/FK5JnKrMih"
1247551609464188928,1,"Trump’s Aggressive Advocacy of Malaria Drug for Treating Coronavirus Divides Medical Community
""Mr. Trump himself has a small personal financial interest in Sanofi, the French drugmaker that makes Plaquenil, the brand-name version of hydroxychloroquine.""
 https://t.co/Cr8xvx4Tw7"
1247551701743095808,1,"From the No-Surprise Department: Trump reportedly owns a stake in a company that produces hydroxychloroquine, the anti-malaria drug he has repeatedly touted as a coronavirus treatment even though his experts say there’s no strong evidence it works. https://t.co/xpccoAwhXS"
1247551709766975488,2,"Thousands of Doctors: Yes, Hydroxychloroquine Works Against Wuhan Coronavirus https://t.co/AiKCrfSefp"
1247551798342270980,2,"@realDonaldTrump @VP To summarize, Pres. Trump, most people have Covid-19 recovered on their own, &amp; those who died were the weaker ones with many health issues, which would prevent them to try Hydroxychloroquine.  They would not survive the side effects H might create on them."
1247551835465895937,1,"Trump himself has a financial stake in the French company that makes the brand-name version of hydroxychloroquine, the unproven malaria drug he has been hyping.

https://t.co/XikeVGkaPb"
1247538989021589509,2,"@ccdeditor @Beautyon_ It’s all Trump’s fault. If he had tried to ban chloroquine instead of praising it — the whole world would be praising it just to prove how evil Trump is, we would all be taking it at the slightest symptom, and epidemic would be mostly under control."
1247539089110233090,1,"Here's some morning tea: BREAKING: President Trump has a financial interest in the maker of hydroxychloroquine.

In other words, he has been telling Americans to risk their lives an take this drug in order for him to profit.

No, I’m not f—king joking https://t.co/tzVzMBX4Sg"
1247539181577834505,1,"Trump, ignoring reports it causes heart and vision problems in limited testing in Sweden and Britain, again promotes hydroxychloroquine as a cure for the pandemic, but covers his liability with
""So what do I know?"",
""I'm not a doctor."",
and five times,
""What do you have to lose?"""
1247539369985970178,0,"Me after watching news channel for more than 2 hours. 

#lockdown #CoronavirusPandemic
#coronavirus #April15Suspense #yogiji_ban_tiktok #Hydroxychloroquine #StayHomeSaveLives #HopeFromHome https://t.co/yFRDztBsgn"
1247539383038693377,0,"@SenatorDurbin why don't you ask for 7% cap on Hydroxychloroquine imports also?

How long hate politics?
#ILpol #ILsen #S386 #S386IsFair #S386IsFair #S386IsGoodForAmerica
@SenMikeLee @SenMikeLee @SenateDems 

https://t.co/fdIYRSzxFR"
1247539391397892102,1,"President Donald Trump reportedly owns a stake in a company that produces hydroxychloroquine, the anti-malaria drug he has repeatedly touted as a coronavirus treatment even though his experts say there’s no strong evidence it works.  https://t.co/OY2apG2rG6"
1247539458947207168,0,#Covid19 #coronavirus #Hydroxychloroquine mis information  https://t.co/L0eQZxsadK
1247539509119422464,0,"Does Histoglob weekly injection of Bharat Serums &amp; Vaccines Ltd provides enough immunity for 6 months to fight CORONA?
#CoronaInMaharashtra #coronaupdatesindia 
#COVID19outbreak 
#Hydroxychloroquine 
#bharaserumsandvaccines"
1247539575146213377,1,Study touting hydroxychloroquine as COVID-19 cure didn’t meet standard: Publisher https://t.co/G7khFQ76MC https://t.co/CfFCGHRytR
1247539580166787073,0,"The Bureau of Prisons Just Bought a Ton of Hydroxychloroquine, Trump’s COVID-19 Miracle Drug https://t.co/VaWfmvkjLD"
1247539588303749121,0,@CNN Well I’ve been reading people are against Hydroxychloroquine use because they say Trump has a stake in it yet this LA doctor says he sees success using Hydroxychloroquine with Zinc to treat COVID-19 and is ignored https://t.co/xJXxLcJg30 https://t.co/8kAiqAYm8d
1247527178004082688,0,"This article from Katherine Seley-Radtke for the American Society for Biochemistry and Molecular Biology summarizes the debate over the applications of hydroxychloroquine in treating COVID-19 patients.

https://t.co/Jxzd2ilp9M"
1247527202536607747,0,Hydroxychloroquine treatment for Covid-19 patients - OAN interview Pt. 1... https://t.co/ytbtpHbez6 via @YouTube @seanhannity @IngrahamAngle @realDonaldTrump @DrJeffColyer
1247527248531357696,1,"I can point to random chemicals, like Hydroxychloroquine, shrug my shoulders and say ""Maybe that'll work..."". It hasn't stopped professionals worldwide. I'll send you my Revolut, since I don't trust you legacy banking types farther than I can throw you. https://t.co/3k2zQNO9cg"
1247527286640795650,1,Hydroxychloroquine: how an unproven drug became Trump’s coronavirus 'miracle cure' https://t.co/hhzFVoZI3b
1247527295083929600,2,@atrupar When hating President Trump is more important than saving lives you know you're a Demacrat. #Hydroxychloroquine #CNNisFakeNews #TDS #Covid19usa #coronavirus #antivaxxers #Coronavirustruth #Covid19Out #25theAmendmentNow #BoycottTrumpPressConferences
1247527370380038151,1,"Coronavirus tracker: Trump holds financial interests in chloroquine maker | FiercePharma
#Hydroxychloroquine 

@realDonaldTrump is scum. Only human garbage would look to make money off of human tragedy COVID-19
Over 11,000 deaths  https://t.co/0iLTKsUUxl"
1247527416358035458,0,Is he receiving hydroxychloroquine? https://t.co/wY4DwV6l28
1247527429616201730,1,"Trump and associates have financial stake in potential coronavirus drug hydroxychloroquine, according to report https://t.co/eXnECehZLU"
1247527433655308292,2,"Hydroxychloroquine may work against the coronavirus, but the media are refusing to acknowledge it - Washington Examiner: Hydroxychloroquine may work against the coronavirus, but the media are refusing to acknowledge it  Washington ExaminerView Full… https://t.co/FcycZDPkji"
1247527450529038338,1,"@angie_rasmussen 

Dear Doctor,
  My pharmacy says it will fill a script from any doctor anywhere in my country. I have final stage COPD and afraid to get the Coronavirus as it might be a death sentence for me.  Dr Oz has prescribed Hydroxychloroquine and Zinc and Zephrimiacin!"
1247527579650678787,1,Hydroxychloroquine: The unproven 'corona drug' Trump is threatening India for https://t.co/HGnm28cFBc #COVID-19 #360WiSEMEDiA https://t.co/zzXqab2zFI
1247527646834987008,2,"@HoustonReps A Democratic lawmaker took Hydroxychloroquine, reversed her serious Covid-19 illness and saved her life. She is grateful to President Trump. Amazing story!

https://t.co/WSCWXSCiig

https://t.co/1rAfkI2CnP"
1247527655508824064,2,"@PhRMA #covidcure  #HydroxychloroquineAndAzithromycin #HydroxychloroquineCURES   You have a cure for COVID-19, you just can't make billions off it.  Try a little humanity for a change.  THAT would be ""novel"""
1247527748219764736,1,"@thehill President Donald Trump reportedly owns a stake in a company that produces hydroxychloroquine, the anti-malaria drug he has repeatedly touted as a coronavirus treatment even though his experts say there’s no strong evidence it works."
1247527765034725376,1,"Donald Trump Has Stake In Hydroxychloroquine Drugmaker: Report
The president has repeatedly touted the anti-malaria drug as a coronavirus treatment despite a lack of medical evidence. https://t.co/akA5cZCX6P"
1247527827756306432,0,Use of Hydroxychloroquine and Chloroquine During the COVID-19 Pandemic | Ann Intern Med | ACP | https://t.co/LxElug8DB9
1247527882185789440,1,"“The Times reports the president’s family trusts all have investments in a mutual fund whose largest holding is Sanofi, the manufacturer of Plaquenil, the brand-name version of hydroxychloroquine“ via @NYTimes https://t.co/hSgCG5gPTa"
1247527890431795202,2,"@businessinsider We are making a list of every news outlet and any reporter who has pushed and is currently pushing negative propaganda about this drug  for political reasons &amp; therefore costing American lives.

All docs know Hydroxychloroquine has been proven safe and effectivly kills COVID19."
1247527945360441348,1,"@thehill President Donald Trump reportedly owns a stake in a company that produces hydroxychloroquine, the anti-malaria drug he has repeatedly touted as a coronavirus treatment even though his experts say there’s no strong evidence it works."
1247527945565900804,1,"1. hydroxychloroquine is not a proven medicine for Covid 19
2. If we have surplus and capacity, we will definitely help the world.
3. If we need help from any friendly nation, we would request and seek help. 
4. Retaliation is a common word used in battle.
 #coronavirus"
1247527999932526594,0,"@TheAnujBajpai @TikTok_IN @myogiadityanath India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247528012356018176,1,"@kylegriffin1 You should publicly state that neither you nor anyone in your family will ever take hydroxychloroquine to treat COVID-19 ailments. Stand by your principals, publicly. Otherwise you risk exposing the fact that you are nothing but a scurrying cockroach."
1247528020568489985,2,"Democrat State Rep From Michigan Says Hydroxychloroquine, President Trump, Helped Save Her Life After She Tested Positive For Coronavirus 

https://t.co/3uwXWwmwS5"
1247528020639772676,2,Democratic state lawmaker says Trump touting hydroxychloroquine as coronavirus treatment saved her life - TheBlaze https://t.co/LfcABl7i6g
1247528024754413568,0,"@AnilKum08877230 @reaal_sachin India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247528133554659329,1,"Yeah, just take it. I mean, why mess with all the ""test tubes and the laboratories.""? That sciency stuff just gets in the way.

Hydroxychloroquine: how an unproven drug became Trump’s coronavirus 'miracle cure' https://t.co/qaCdUcMI1Q"
1247528255260745730,0,"@TheDeepak2020 @aligarhpolice @CMOfficeUP @Uppolice @digrangealigarh @RaamendraSharm3 @SarojMi86385397 @Dikshapandey22 @nayabharathoon @TheAnujBajpai @ANKISHARMA1990 @miss_Sangita_ @dnbeldar @YagnikNikitaben India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247528310172569608,1,"@footdoctorkatz @KCTaz @Heidimoconnor @RepGalonski @Forbes “Scientists hope chloroquine and hydroxychloroquine ... may be used to treat the coronavirus, but early studies have provided mixed evidence proving their effectiveness and the drugs may entail risks such as vision problems or cardiac arrest.”

Yes, thank you."
1247528389558190082,0,"@TajinderBagga @MayankB73751025 India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247528519506092037,0,"@sachida10 @Brijendrrajput @Dikshapandey22 @netanyamishra_1 @reaal_sachin @Shubham77545566 @TPNsherni @Yogeshgujjar5 @shuklapinkii @Real_Ragini @ekhivillain India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247532982505627651,2,"Democratic state lawmaker says Trump touting hydroxychloroquine as coronavirus treatment saved her life - TheBlaze. Wonder how many lives hav been lost due to Trump-hating Dems &amp; MSM demonizing this drug’s use? U petty, vile Democrap losers! https://t.co/KmaZIE2rXn"
1247533028831686657,0,"Hindustan Times: In PM Modi’s hydroxychloroquine export order, a Covid-19 message to the world.
https://t.co/X0gc4wy0ZA

via @GoogleNews"
1247533045193687043,1,"Trump holds ""financial interest"" in pharmaceutical company that produces hydroxychloroquine: NYT
Trump and his allies have financial ties to companies that manufacture untested drug he’s touting for COVID-19 https://t.co/bzUiXaQy0q"
1247533116098408448,1,"My life, and that of millions of other people who depend on hydroxychloroquine to treat lupus, changed in that brief moment. Our lives were suddenly more at risk.

https://t.co/waArF7oVQA https://t.co/4E4GCFjoe8"
1247533137141174275,2,"@DailyMail Bullshit - get your facts.. beside, if anyone get sick from that China virus, and that person don’t like treatment let them be.. but Any rational American who want to fight that pandemic is free to use hydroxychloroquine. https://t.co/nqDnI774Cd"
1247533141549445121,0,Michigan governor threatens doctors who prescribe hydroxychloroquine to treat COVID-19 [Video] https://t.co/hanFO2elbZ
1247533175141588992,1,"@ANI Medical professionals... listen to the medical professionals. 

This mad man is profiteering off of the deaths of Americans. 

He is threatening other countries over what exactly? 
A magic bean? There is no medical science that backs hydroxychloroquine as a cure for #COVID19"
1247533279575552000,1,"My life, and that of millions of other people who depend on hydroxychloroquine to treat lupus, changed in that brief moment. Our lives were suddenly more at risk.

https://t.co/waArF7oVQA https://t.co/kWMOsJCkvr"
1247533304871391234,0,"I need a red capper to spin this. Why is it okay for the nepotistic crime syndicate to profit off mass casualties?  From Hydroxychloroquine, to testing, even coffins. 
Ivanka Trump's Chinese trademarks on coffins raise corruption concerns - ABC News https://t.co/6CfzbqnvKB"
1247533393757097988,1,Hydroxychloroquine Increases Risk of Cardiac Arrest https://t.co/KdMNCN0Bj0 via @ein_news
1247533468638007299,1,"@justingern @JamesGBledsoe1 @rhettysetgo @LindsayKelleyS See, THAT, I can agree to. Is there nuance in the recommendation? Absolutely. Even currently clinically proven drugs have limitation and parameters. Simply throwing out “Chloroquine” is the COVID-19 cure, that is the essence here, and that I have issue with."
1247533490159017984,1,QUACKchloroquine is a no no! https://t.co/4vaWKg2BIS
1247533511159894017,0,"India has huge numbers of #Hydroxychloroquine so that it can serve the country &amp; all other countries which are facing the covid-19 extremely.! So #मोदी_तुम्हारा_बाप_है has decided to export this medicine to all the needy🇮🇳
#मोदी_तुम्हारा_बाप_है 
#मोदी_तुम्हारा_बाप_है"
1247533523432435714,1,"My life, and that of millions of other people who depend on hydroxychloroquine to treat lupus, changed in that brief moment. Our lives were suddenly more at risk.

https://t.co/waArF7oVQA https://t.co/cLSDS4QAkY"
1247533588679016448,1,"“Mr. Trump himself has a small personal financial interest in Sanofi, the French drugmaker that makes the brand-name version of hydroxychloroquine.”

no worse pharma conflict of interest than profiteering over people in a pandemic — as president #covid19 https://t.co/JdOIb8eBoy"
1247533644979163140,1,"“Mr. Trump himself has a small personal financial interest in Sanofi, the French drugmaker that makes Plaquenil, the brand-name version of hydroxychloroquine.”
-The New York Times https://t.co/At0BVUhbmR"
1247533645159514112,1,"@Midwesterner196 There is a difference between an emergency use order to permit the use of hydroxychloroquine and actual FDA approval. Indication for COVID-19 is NOT part of the FDA-approved labeling.

https://t.co/0H3NAxEg3N"
1247533703409963009,0,Especially when the full description is Hydroxychloroquine https://t.co/gw9gOxuCFY
1247533745789263873,2,"Second Detroit lawmaker gets COVID-19, touts hydroxychloroquine with saving life https://t.co/wdf2hxbLXF https://t.co/Cx9SH4rB6j"
1247533753817128961,2,@DrBill_MD_  Dr Oz’s will have a renowned Rheumatologist on his show today discussing how patients w/Rheumatology illnesses who take hydroxychloroquine are NOT getting Covid-18. Dr Oz is asking ANYONE w/RA or Lupus who HAS gotten Covid-19 while on med to write him on his website
1247533783584108545,2,"Democrat State Rep From Michigan Says Hydroxychloroquine, President Trump, Helped Save Her Life After She Tested Positive For Coronavirus https://t.co/ByV85cj4S6"
1247533825569091586,0,Stealing masks and stockpiling hydroxychloroquine — what America has become during this epidemic is deeply worrying via @Independent #COVID19  https://t.co/U6QmB8ZfyB
1247533849862483968,2,"Democrat State Rep From Michigan Says Hydroxychloroquine, President Trump, Helped Save Her Life After She Tested Positive For Coronavirus https://t.co/QKORfF19Io via @gatewaypundit"
1247533926509203463,2,Chloroquine looks promising to treat Covid-19: expert https://t.co/pq45wmZBni
1247533939029237762,2,"@SebGorka 
Funny thing is Fauci has recomended a #Hydroxychloroquine like predicament before! Read this piece in 2013  

 https://t.co/LRYKaUHUdf"
